fish_id,mid-eye-fork-length,avg_egg_mass_g,total_egg_mass_g,est_pre_hardened_egg_mass_g,est_fecund_n,nmolT_g,deficient_conc,nmolT_egg,deficient_totalT,drew_est_fecund,nmol_egg_status,total_thiamine_mass
f48,720,0.26615714285714287,1570,1208.9,6062,7.067097808068102,replete,1.8834639457371605,replete,321.75737000000004,top75,2957.038394807342
f49,725,0.24708888888888886,1325,1020.25,5116,4.721315384074163,deficient,1.16756648162699,replete,252.09243888888886,bottom25,1547.0255881557616
f50,683,0.251,1245,958.65,4807,7.496983285954739,replete,1.8820966945746203,replete,240.62115,top75,2343.2103847454023
f51,704,0.2592375,995,766.15,3842,4.086875610128244,deficient,1.0594275202290366,replete,198.614810625,bottom25,1054.1303826278915
f52,724,0.2858,1280,985.6,4942,4.085528395955285,deficient,1.166525855956604,replete,281.68448,bottom25,1493.1530956244533
f53,723,0.27705714285714284,1245,958.65,4807,4.363688958886092,deficient,1.2105435197254901,replete,265.60083,bottom25,1507.1266820582352
f54,730,0.2620625,1390,1070.3,5367,4.878285875589076,deficient,1.2772639874755205,replete,280.48549375,top75,1775.3969425909736
f55,642,0.2131222222222222,605,465.85,2336,6.851882433979295,replete,1.4591380519054142,replete,99.28298722222222,top75,882.7785214027756
f56,703,0.2670375,1380,1062.6000000000001,5328,6.849484214403645,replete,1.828823095205467,replete,283.7540475,top75,2523.775871383544
f57,736,0.25106249999999997,1575,1212.75,6081,7.827420255864211,replete,1.9652118511588135,replete,304.47604687499995,top75,3095.2086655751314
f58,823,0.27917142857142857,2135,1643.95,8243,7.415402459945646,replete,2.040605227454686,replete,458.94387,top75,4356.692160615755
f59,776,0.2786875,1060,816.2,4093,5.64885499671086,replete,1.5742824375825792,replete,227.46473749999998,top75,1668.739383837534
f60,732,0.241425,1580,1216.6000000000001,6100,3.679897491364736,deficient,0.8879496253169354,deficient,293.71765500000004,bottom25,1402.960408000758
